time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-11-19 09:31:00-05:00,SMACrossoverStrategy,e2878f620c314bee97a6c9bd17a30c14,MSFT,buy,market,fill,1,gtc,0.0,1,stock,413.1099853515625,230.0,0.0
2024-11-19 09:32:00-05:00,SMACrossoverStrategy,25ed8637d18148118665d2ace4831582,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2024-11-19 09:32:00-05:00,SMACrossoverStrategy,25ed8637d18148118665d2ace4831582,MSFT,sell,market,fill,1,gtc,0.0,1,stock,413.1099853515625,230.0,0.0
2024-11-29 09:30:00-05:00,SMACrossoverStrategy,08e716d50dcd40d69a9ce25819f66d67,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-29 09:30:00-05:00,SMACrossoverStrategy,08e716d50dcd40d69a9ce25819f66d67,MSFT,buy,market,fill,1,gtc,0.0,1,stock,420.0899963378906,226.0,0.0
2024-12-05 09:30:00-05:00,SMACrossoverStrategy,30162f32e6dd447ab4e928ede2aad37a,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-05 09:30:00-05:00,SMACrossoverStrategy,30162f32e6dd447ab4e928ede2aad37a,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,175.36000061035156,4.0,0.0
2024-12-20 09:30:00-05:00,SMACrossoverStrategy,5889f36a5f734331913d1741cdebd4d3,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-20 09:30:00-05:00,SMACrossoverStrategy,5889f36a5f734331913d1741cdebd4d3,MSFT,sell,market,fill,1,gtc,0.0,1,stock,433.1099853515625,226.0,0.0
2024-12-24 09:30:00-05:00,SMACrossoverStrategy,82b4c9ab8f8e4ffa81ec79a053946eeb,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-24 09:30:00-05:00,SMACrossoverStrategy,82b4c9ab8f8e4ffa81ec79a053946eeb,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,194.83999633789062,4.0,0.0
2024-12-27 09:30:00-05:00,SMACrossoverStrategy,1bab064f6b674cd190c3fc4e7d0b27e5,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-27 09:30:00-05:00,SMACrossoverStrategy,1bab064f6b674cd190c3fc4e7d0b27e5,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,194.9499969482422,504.0,0.0
2024-12-27 09:31:00-05:00,SMACrossoverStrategy,8aaee21a795f43e7a67ed9a8c7338743,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-27 09:31:00-05:00,SMACrossoverStrategy,8aaee21a795f43e7a67ed9a8c7338743,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,194.9499969482422,504.0,0.0
2024-12-27 09:32:00-05:00,SMACrossoverStrategy,5e55f61fa6454b3bbb6f99426be660a2,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-27 09:32:00-05:00,SMACrossoverStrategy,5e55f61fa6454b3bbb6f99426be660a2,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,194.9499969482422,512.0,0.0
2025-01-02 09:30:00-05:00,SMACrossoverStrategy,056b8d78bdf24ee0a3ec8db336f0fa25,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-02 09:30:00-05:00,SMACrossoverStrategy,056b8d78bdf24ee0a3ec8db336f0fa25,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,190.64999389648438,512.0,0.0
2025-01-03 09:30:00-05:00,SMACrossoverStrategy,38f13efd836745bca169b9cf7366d487,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-03 09:30:00-05:00,SMACrossoverStrategy,38f13efd836745bca169b9cf7366d487,AAPL,sell,market,fill,1,gtc,0.0,1,stock,243.36000061035156,1.0,0.0
2025-01-10 09:30:00-05:00,SMACrossoverStrategy,28c9a025d5814c24b21a6be3c6688164,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-10 09:30:00-05:00,SMACrossoverStrategy,28c9a025d5814c24b21a6be3c6688164,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,194.3000030517578,499.0,0.0
2025-01-14 09:30:00-05:00,SMACrossoverStrategy,25fdd1e500464fe48016e7420b242501,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-14 09:30:00-05:00,SMACrossoverStrategy,25fdd1e500464fe48016e7420b242501,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,191.24000549316406,499.0,0.0
2025-01-14 09:31:00-05:00,SMACrossoverStrategy,1e653f9322144ac0b9c8bf9c9ee8c116,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-14 09:31:00-05:00,SMACrossoverStrategy,1e653f9322144ac0b9c8bf9c9ee8c116,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,191.24000549316406,502.0,0.0
2025-01-16 09:30:00-05:00,SMACrossoverStrategy,5a90b48dbe43467cbbdc32acbee6a4a5,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-16 09:30:00-05:00,SMACrossoverStrategy,5a90b48dbe43467cbbdc32acbee6a4a5,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,194.13999938964844,502.0,0.0
